file	rule	startLine	endLine	startColumn	endColumn	sourceFileSha256	classification	translationKey	proofRevision
apps/api/v2/src/modules/cal-unified-calendars/services/google-calendar.service.spec.ts	private-key	203	215	16	52	362f13a9d0714a7982f90b2397046b2bb79845cee267a578df2669322ec871f4	NON_PARSEABLE_LITERAL_MOCK_PRIVATE_KEY	-	-
i18n.lock	generic-api-key	22	22	6	61	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	reset_password_subject	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	196	196	6	71	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	someone_requested_password_reset	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	197	197	6	64	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	password_reset_email_sent	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	198	198	6	66	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	password_reset_instructions	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	237	237	6	55	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	meeting_password	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	240	240	6	54	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	token_not_found	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	268	268	6	65	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	use_link_to_reset_password	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	315	315	6	67	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	2fa_confirm_current_password	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	341	341	6	52	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	api_reference	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	359	359	6	45	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	secret	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	360	360	6	67	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	leave_blank_to_remove_secret	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	361	361	6	69	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	webhook_secret_key_description	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	388	388	6	61	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	request_password_reset	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	390	390	6	54	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	forgot_password	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	404	404	6	65	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	check_email_reset_password	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	483	483	6	53	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	reset_password	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	484	484	6	59	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	change_your_password	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	485	485	6	52	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	show_password	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	486	486	6	52	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	hide_password	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	604	604	6	63	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	browse_api_documentation	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	605	605	6	55	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	leverage_our_api	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	622	622	6	66	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	delegation_credential_error	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	669	669	6	47	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	password	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	671	671	6	64	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	password_has_been_changed	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	678	678	6	64	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	super_secure_new_password	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
